Justice,Admiration,Fantasy
Kindness,Anger,Fear
Pain,Art,Grief
Philosophy,Concerns,Happiness
Pleasure,Crazy,Hate
Politics,Current,Heist
Regret,Dread,Humility
Religion,Dreams,Hurt
Remorse,Empathy,Jealousy
Resentment,Family,Joy
Terror,Heist,Kindness
Warmth,Hurt,Pain
Weakness,Jealousy,Passion
Wicked,Joy,Philosophy
Sadness,Fantasy,Pleasure
Society,Friendship
Sympathy,Grief
Temper,Happiness
Passion,Compassion
Rebellion,Doubt
Arrogance,Friendship
Tenderness,Justice
Transcendance,Loneliness
Humility,Love
Shame,Politics
Shock,Rebellion
Strength,Religion
Admiration,Sadness
Art,Strength
Crazy,Tenderness
Doubt
Dread
Dreams
Empathy
Anger
Compassion
Current
Family
Loneliness
Shock
Society
Temper
