name
Unknown Genre
Alternative
Alternative Punk
Alternative Rock
Ambient
Blues
Classical
Country
Electronic
Electronica Dance
Folk
Hip-Hop
House
IDM
Indie
Indie Rock
Industrial
Industrial Dance
Industrial Rock
Instrumental
New Age
Pop
Power Ballad
Rock
Soundtrack
Space
Swing Jazz Vocal
Techno
Turntablism
